#machine,vitesse(m/s),zone
1,1.28156314102564,
2,1.26833525641026,
3,1.29170064102564,
4,1.25450416666667,
5,1.42281378205128,
6,1.39077435897436,
7,1.37508525641026,
8,1.10262820512821,
9,1.27651858974359,
10,1.21970865384615,
11,1.38303525641026,
12,1.11068301282051,
13,1.52128878205128,
14,1.39518173076923,
15,1.25415256410256,
16,1.49925288461538,
17,1.26601826923077,
18,1.3676108974359,
19,1.242825,
20,1.27468717948718,
21,1.18235512820513,
22,1.09703846153846,
23,1.4667358974359,
24,1.41578974358974,
25,1.19993108974359,
26,1.23851538461538,
27,1.38222788461538,
28,1.13083717948718,
29,1.2643782051282,
30,1.25529871794872,
31,1.14160769230769,
32,1.34871121794872,
33,1.36339006410256,
34,1.12933429487179,
35,1.21889967948718,
36,1.3537125,
37,1.41010256410256,
38,1.17621570512821,
39,1.38086121794872,
40,1.32788621794872,
41,1.50639455128205,
42,1.11700865384615,
43,1.42255384615385,
44,1.37143846153846,
45,1.43075993589744,
46,1.56781025641026,
47,1.17099487179487,
48,1.3703233974359,
